ticker,asset_name,asset_type,stock_price,transaction,transaction_date,asset_value_low,asset_value_high,last_name,first_name,owner,additional_details
CMA,Comerica Incorporated,Stock,60.44,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
CMCSA,Comcast Corporation,Stock,34.46,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
KO,The Coca-Cola Company,Stock,36.21,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
CSCO,"Cisco Systems, Inc.",Stock,29.75,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
CVX,Chevron Corporation,Stock,86.23,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
CVS,CVS Health Corporation,Stock,68.96,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
BMY,Bristol-Myers Squibb Company,Stock,49.28,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
BA,The Boeing Company,Stock,166.63,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
BAC,Bank of America Corporation,Stock,22.73,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
BGS,"B&G Foods, Inc.",Stock,27.72,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
AAPL,Apple Inc.,Stock,33.35,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
APA,Apache Corporation,Stock,46.16,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
AMGN,Amgen Inc.,Stock,159.53,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
T,AT&T Inc.,Stock,20.59,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
LYB,LyondellBasell Industries N.V.,Stock,60.02,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
TEL,TE Connectivity Ltd.,Stock,69.13,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
CB,Chubb Limited,Stock,124.01,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
MDT,Medtronic plc,Stock,73.32,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
ETN,Eaton Corporation plc,Stock,38.17,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
ESRX,Express Scripts Holding Company,Stock,66.06,Sale (Full),03/15/2017,1001,15000,Reed,John F,Joint,--
CVS,CVS Health Corporation,Stock,70.09,Sale (Partial),02/23/2017,15001,50000,Whitehouse,Sheldon,Child,--
JCI,Johnson Controls International plc,Stock,36.6,Purchase,02/23/2017,1001,15000,Whitehouse,Sheldon,Child,--
BMY,Bristol-Myers Squibb Company,Stock,47.96,Purchase,02/23/2017,1001,15000,Whitehouse,Sheldon,Child,--
JPM,JPMorgan Chase & Co.,Stock,79.02,Purchase,02/23/2017,1001,15000,Whitehouse,Sheldon,Child,--
BUD,Anheuser-Busch InBev SA/NV,Stock,97.08,Sale (Full),02/23/2017,1001,15000,Whitehouse,Sheldon,Child,--
BRK-B,Berkshire Hathaway Inc.,Stock,170.15,Purchase,02/23/2017,1001,15000,Whitehouse,Sheldon,Spouse,--
EL,The Estée Lauder Companies Inc.,Stock,79.86,Sale (Full),02/23/2017,1001,15000,Whitehouse,Sheldon,Joint,--
MCK,MCK-McKesson Corporation,Stock,141.41,Purchase,02/23/2017,1001,15000,Whitehouse,Sheldon,Joint,--
ABT,ABT-Abbott Laboratories,Stock,41.68,Sale (Full),02/23/2017,1001,15000,Whitehouse,Sheldon,Joint,--
BMY,BMY-Bristol-Myers Squibb Company,Stock,47.96,Purchase,02/23/2017,1001,15000,Whitehouse,Sheldon,Joint,--
ADI,"ADI-Analog Devices, Inc.",Stock,69.86,Purchase,02/10/2017,15001,50000,Whitehouse,Sheldon,Self,--
PFE,PFE-PFE-Pfizer Inc.,Stock,25.46,Purchase,02/10/2017,1001,15000,Whitehouse,Sheldon,Self,--
SCCO,Southern Copper Corporation,Stock,27.02,Sale (Full),11/14/2016,1001,15000,Carper,Thomas R,Spouse,--
YUMC,"Yum China Holdings, Inc.",Stock,25.58,Sale (Full),02/17/2017,1001,15000,Van Hollen,Chris,Self,--
YUM,"Yum! Brands, Inc.",Stock,62.72,Sale (Full),02/17/2017,1001,15000,Van Hollen,Chris,Self,--
VZ,Verizon Communications Inc.,Stock,39.33,Sale (Full),02/17/2017,1001,15000,Van Hollen,Chris,Self,--
PEP,"Pepsico, Inc.",Stock,94.64,Sale (Full),02/17/2017,15001,50000,Van Hollen,Chris,Self,--
JNJ,JNJ-Johnson & Johnson,Stock,103.51,Sale (Full),02/17/2017,1001,15000,Van Hollen,Chris,Self,--
GE,General Electric Company,Stock,142.65,Sale (Full),02/17/2017,15001,50000,Van Hollen,Chris,Self,--
T,AT&T Inc.,Stock,20.13,Sale (Full),02/17/2017,1001,15000,Van Hollen,Chris,Self,--
TMO,Thermo Fisher Scientific Inc.,Stock,155.61,Purchase,03/06/2017,1001,15000,Reed,John F,Joint,--
XBI,SPDR S&P Biotech ETF,Stock,70.22,Purchase,03/06/2017,1001,15000,Reed,John F,Joint,--
FDX,FedEx Corporation,Stock,182.48,Purchase,03/06/2017,1001,15000,Reed,John F,Joint,--
ADI,"Analog Devices, Inc.",Stock,76.96,Purchase,03/06/2017,1001,15000,Reed,John F,Joint,--
XBI,SPDR S&P Biotech ETF,Stock,70.22,Purchase,03/06/2017,1001,15000,Reed,John F,Self,--
HACK,PureFunds ISE Cyber Security ETF,Stock,27.86,Purchase,03/06/2017,1001,15000,Reed,John F,Self,--
IYT,iShares Transportation Average,Stock,34.43,Purchase,03/06/2017,1001,15000,Reed,John F,Self,--
FDX,FedEx Corporation,Stock,182.48,Purchase,03/06/2017,1001,15000,Reed,John F,Self,--
ADI,"Analog Devices, Inc.",Stock,76.96,Purchase,03/06/2017,1001,15000,Reed,John F,Self,--
ESRX,Express Scripts Holding Company,Stock,70.05,Sale (Full),03/06/2017,1001,15000,Reed,John F,Self,--
NGG,National Grid plc,Stock,47.18,Purchase,03/02/2017,100001,250000,Hoeven,John,Self,--
UPS,"United Parcel Service, Inc.",Stock,91.14,Purchase,03/02/2017,50001,100000,Hoeven,John,Self,--
QCOM,QUALCOMM Incorporated,Stock,49.03,Purchase,03/02/2017,100001,250000,Hoeven,John,Self,--
KSS,Kohl's Corporation,Stock,34.88,Purchase,02/15/2017,50001,100000,Hoeven,John,Self,--
CCI,Crown Castle International Corp.,Stock,75.76,Purchase,02/15/2017,50001,100000,Hoeven,John,Self,--
MPW,"Medical Properties Trust, Inc.",Stock,9.52,Purchase,02/06/2017,1001,15000,Peters,Gary C,Self,--
AAPL,Apple Inc.,Stock,30.39,Sale (Full),02/01/2017,15001,50000,Cornyn,John,Self,--
EMR,Emerson Electric Co.,Stock,51.09,Sale (Full),01/30/2017,1001,15000,Reed,John F,Joint,--
HON,Honeywell International Inc.,Stock,102.64,Purchase,01/30/2017,1001,15000,Reed,John F,Joint,--
PEP,"Pepsico, Inc.",Stock,90.82,Sale (Partial),01/31/2017,1001,15000,Reed,John F,Joint,Less than $1001.
PEP,"Pepsico, Inc.",Stock,90.82,Sale (Partial),01/31/2017,1001,15000,Reed,John F,Self,--
MDT,Medtronic plc,Stock,66.7,Sale (Full),01/11/2017,1001,15000,Whitehouse,Sheldon,Child,--
NVDA,NVIDIA Corporation,Stock,25.96,Purchase,01/11/2017,1001,15000,Whitehouse,Sheldon,Spouse,--
PANW,"Palo Alto Networks, Inc.",Stock,45.83,Sale (Full),01/11/2017,1001,15000,Whitehouse,Sheldon,Spouse,--
UNH,UnitedHealth Group Incorporated,Stock,150.12,Sale (Partial),01/11/2017,15001,50000,Whitehouse,Sheldon,Joint,--
PANW,"Palo Alto Networks, Inc.",Stock,45.83,Sale (Full),01/11/2017,1001,15000,Whitehouse,Sheldon,Joint,--
AAPL,Apple Inc.,Stock,28.26,Sale (Partial),01/11/2017,1001,15000,Whitehouse,Sheldon,Joint,--
NSRGY,Nestlé S.A.,Stock,63.74,Sale (Partial),01/11/2017,15001,50000,Whitehouse,Sheldon,Joint,--
TMUS,"T-Mobile US, Inc.",Stock,60.22,Purchase,01/24/2017,15001,50000,Whitehouse,Sheldon,Joint,--
BA,The Boeing Company,Stock,148.85,Purchase,01/24/2017,1001,15000,Whitehouse,Sheldon,Joint,--
MO,"MO-Altria Group, Inc.",Stock,52.1,Sale (Full),01/30/2017,1001,15000,Whitehouse,Sheldon,Joint,Acquired as a result of a 9/21/16 inheritance
LW,"LW-Lamb Weston Holdings, Inc.",Stock,34.43,Sale (Full),01/30/2017,1001,15000,Whitehouse,Sheldon,Joint,LW received as a split from CAG on 11/09/16
